,defaultKeyStatistics,details,summaryProfile,recommendationTrend,financialsTemplate,majorDirectHolders,earnings,price,fundOwnership,insiderTransactions,insiderHolders,netSharePurchaseActivity,majorHoldersBreakdown,financialData,quoteType,institutionOwnership,calendarEvents,summaryDetail,symbol,esgScores,upgradeDowngradeHistory,pageViews
heldPercentInsiders,"{'raw': 0.05746, 'fmt': '5.75%'}",,,,,,,,,,,,,,,,,,GOOG,,,
nextFiscalYearEnd,"{'raw': 1640908800, 'fmt': '2021-12-31'}",,,,,,,,,,,,,,,,,,GOOG,,,
yield,{},,,,,,,,,,,,,,,,,{},GOOG,,,
mostRecentQuarter,"{'raw': 1593475200, 'fmt': '2020-06-30'}",,,,,,,,,,,,,,,,,,GOOG,,,
shortRatio,"{'raw': 1.53, 'fmt': '1.53'}",,,,,,,,,,,,,,,,,,GOOG,,,
sharesShortPreviousMonthDate,"{'raw': 1593475200, 'fmt': '2020-06-30'}",,,,,,,,,,,,,,,,,,GOOG,,,
floatShares,"{'raw': 610528482, 'fmt': '610.53M', 'longFmt': '610,528,482'}",,,,,,,,,,,,,,,,,,GOOG,,,
beta,"{'raw': 1.036263, 'fmt': '1.04'}",,,,,,,,,,,,,,,,,"{'raw': 1.036263, 'fmt': '1.04'}",GOOG,,,
enterpriseValue,"{'raw': 947636600832, 'fmt': '947.64B', 'longFmt': '947,636,600,832'}",,,,,,,,,,,,,,,,,,GOOG,,,
priceHint,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",,,,,,,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",,,,,,,,,,"{'raw': 2, 'fmt': '2', 'longFmt': '2'}",GOOG,,,
threeYearAverageReturn,{},,,,,,,,,,,,,,,,,,GOOG,,,
lastSplitDate,"{'raw': 1430092800, 'fmt': '2015-04-27'}",,,,,,,,,,,,,,,,,,GOOG,,,
lastSplitFactor,10000000:10000000,,,,,,,,,,,,,,,,,,GOOG,,,
legalType,,,,,,,,,,,,,,,,,,,GOOG,,,
morningStarOverallRating,{},,,,,,,,,,,,,,,,,,GOOG,,,
earningsQuarterlyGrowth,"{'raw': -0.3, 'fmt': '-30.00%'}",,,,,,,,,,,,,,,,,,GOOG,,,
priceToSalesTrailing12Months,{},,,,,,,,,,,,,,,,,"{'raw': 6.333567, 'fmt': '6.33'}",GOOG,,,
dateShortInterest,"{'raw': 1596153600, 'fmt': '2020-07-31'}",,,,,,,,,,,,,,,,,,GOOG,,,
pegRatio,"{'raw': 5.75, 'fmt': '5.75'}",,,,,,,,,,,,,,,,,,GOOG,,,
ytdReturn,{},,,,,,,,,,,,,,,,,{},GOOG,,,
forwardPE,"{'raw': 27.462822, 'fmt': '27.46'}",,,,,,,,,,,,,,,,,"{'raw': 27.462822, 'fmt': '27.46'}",GOOG,,,
maxAge,1,,86400,86400,1,1,86400,1,1,1,1,1,1,86400,,1,1,1,GOOG,,86400,1
lastCapGain,{},,,,,,,,,,,,,,,,,,GOOG,,,
shortPercentOfFloat,{},,,,,,,,,,,,,,,,,,GOOG,,,
sharesShortPriorMonth,"{'raw': 2384162, 'fmt': '2.38M', 'longFmt': '2,384,162'}",,,,,,,,,,,,,,,,,,GOOG,,,
category,,,,,,,,,,,,,,,,,,,GOOG,,,
fiveYearAverageReturn,{},,,,,,,,,,,,,,,,,,GOOG,,,
zip,,,94043,,,,,,,,,,,,,,,,GOOG,,,
sector,,,Communication Services,,,,,,,,,,,,,,,,GOOG,,,
fullTimeEmployees,,,127498,,,,,,,,,,,,,,,,GOOG,,,
longBusinessSummary,,,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising services. The company operates through Google and Other Bets segments. The Google segment offers products, such as Ads, Android, Chrome, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure. It also offers digital content, cloud services, hardware devices, and other miscellaneous products and services. The Other Bets segment includes businesses, including Access, Calico, CapitalG, GV, Verily, Waymo, and X, as well as Internet and television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",,,,,,,,,,,,,,,,GOOG,,,
city,,,Mountain View,,,,,,,,,,,,,,,,GOOG,,,
phone,,,650-253-0000,,,,,,,,,,,,,,,,GOOG,,,
state,,,CA,,,,,,,,,,,,,,,,GOOG,,,
country,,,United States,,,,,,,,,,,,,,,,GOOG,,,
companyOfficers,,,[],,,,,,,,,,,,,,,,GOOG,,,
website,,,http://www.abc.xyz,,,,,,,,,,,,,,,,GOOG,,,
address1,,,1600 Amphitheatre Parkway,,,,,,,,,,,,,,,,GOOG,,,
industry,,,Internet Content & Information,,,,,,,,,,,,,,,,GOOG,,,
trend,,,,"[{'period': '0m', 'strongBuy': 2, 'buy': 3, 'hold': 0, 'sell': 0, 'strongSell': 0}, {'period': '-1m', 'strongBuy': 7, 'buy': 7, 'hold': 1, 'sell': 0, 'strongSell': 0}, {'period': '-2m', 'strongBuy': 7, 'buy': 7, 'hold': 1, 'sell': 0, 'strongSell': 0}, {'period': '-3m', 'strongBuy': 6, 'buy': 6, 'hold': 2, 'sell': 0, 'strongSell': 0}]",,,,,,,,,,,,,,,GOOG,,,
code,,,,,N,,,,,,,,,,,,,,GOOG,,,
holders,,,,,,[],,,,,"[{'maxAge': 1, 'name': 'ARNOLD FRANCES', 'relation': 'Director', 'url': '', 'transactionDescription': 'Stock Award(Grant)', 'latestTransDate': {'raw': 1593561600, 'fmt': '2020-07-01'}, 'positionDirect': {'raw': 843, 'fmt': '843', 'longFmt': '843'}, 'positionDirectDate': {'raw': 1593561600, 'fmt': '2020-07-01'}}, {'maxAge': 1, 'name': 'BRIN SERGEY', 'relation': 'Director and Beneficial Owner of more than 10% of a Class of Security', 'url': '', 'transactionDescription': 'Stock Gift', 'latestTransDate': {'raw': 1590019200, 'fmt': '2020-05-21'}, 'positionDirect': {'raw': 19238400, 'fmt': '19.24M', 'longFmt': '19,238,400'}, 'positionDirectDate': {'raw': 1590019200, 'fmt': '2020-05-21'}}, {'maxAge': 1, 'name': 'DRUMMOND DAVID C', 'relation': 'Officer', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1577923200, 'fmt': '2020-01-02'}, 'positionDirect': {'raw': 46329, 'fmt': '46.33k', 'longFmt': '46,329'}, 'positionDirectDate': {'raw': 1577923200, 'fmt': '2020-01-02'}}, {'maxAge': 1, 'name': 'GREENE DIANE B', 'relation': 'Director', 'url': '', 'transactionDescription': 'Conversion of Exercise of derivative security', 'latestTransDate': {'raw': 1548374400, 'fmt': '2019-01-25'}, 'positionDirect': {'raw': 98928, 'fmt': '98.93k', 'longFmt': '98,928'}, 'positionDirectDate': {'raw': 1548374400, 'fmt': '2019-01-25'}}, {'maxAge': 1, 'name': 'HENNESSY JOHN L', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1593993600, 'fmt': '2020-07-06'}, 'positionIndirect': {'raw': 664, 'fmt': '664', 'longFmt': '664'}, 'positionIndirectDate': {'raw': 1593993600, 'fmt': '2020-07-06'}}, {'maxAge': 1, 'name': 'MATHER ANN', 'relation': 'Director', 'url': '', 'transactionDescription': 'Sale', 'latestTransDate': {'raw': 1596412800, 'fmt': '2020-08-03'}, 'positionDirect': {'raw': 1124, 'fmt': '1.12k', 'longFmt': '1,124'}, 'positionDirectDate': {'raw': 1596412800, 'fmt': '2020-08-03'}}, {'maxAge': 1, 'name': 'O TOOLE AMIE THUENER', 'relation': 'Officer', 'url': '', 'transactionDescription': 'Conversion of Exercise of derivative security', 'latestTransDate': {'raw': 1595808000, 'fmt': '2020-07-27'}, 'positionDirect': {'raw': 632, 'fmt': '632', 'longFmt': '632'}, 'positionDirectDate': {'raw': 1595808000, 'fmt': '2020-07-27'}}, {'maxAge': 1, 'name': 'PICHAI SUNDAR', 'relation': 'Chief Executive Officer', 'url': '', 'transactionDescription': 'Conversion of Exercise of derivative security', 'latestTransDate': {'raw': 1596412800, 'fmt': '2020-08-03'}, 'positionDirect': {'raw': 114966, 'fmt': '114.97k', 'longFmt': '114,966'}, 'positionDirectDate': {'raw': 1596412800, 'fmt': '2020-08-03'}}, {'maxAge': 1, 'name': 'PORAT RUTH M', 'relation': 'Chief Financial Officer', 'url': '', 'transactionDescription': 'Conversion of Exercise of derivative security', 'latestTransDate': {'raw': 1593043200, 'fmt': '2020-06-25'}, 'positionDirect': {'raw': 66923, 'fmt': '66.92k', 'longFmt': '66,923'}, 'positionDirectDate': {'raw': 1593043200, 'fmt': '2020-06-25'}}, {'maxAge': 1, 'name': 'SCHMIDT ERIC E', 'relation': 'Director', 'url': '', 'transactionDescription': 'Conversion of Exercise of derivative security', 'latestTransDate': {'raw': 1551052800, 'fmt': '2019-02-25'}, 'positionDirect': {'raw': 3999220, 'fmt': '4M', 'longFmt': '3,999,220'}, 'positionDirectDate': {'raw': 1551052800, 'fmt': '2019-02-25'}}]",,,,,,,,GOOG,,,
earningsChart,,,,,,,"{'quarterly': [{'date': '3Q2019', 'actual': {'raw': 10.12, 'fmt': '10.12'}, 'estimate': {'raw': 12.46, 'fmt': '12.46'}}, {'date': '4Q2019', 'actual': {'raw': 15.35, 'fmt': '15.35'}, 'estimate': {'raw': 12.59, 'fmt': '12.59'}}, {'date': '1Q2020', 'actual': {'raw': 9.87, 'fmt': '9.87'}, 'estimate': {'raw': 10.38, 'fmt': '10.38'}}, {'date': '2Q2020', 'actual': {'raw': 10.13, 'fmt': '10.13'}, 'estimate': {'raw': 8.34, 'fmt': '8.34'}}], 'currentQuarterEstimate': {'raw': 11.09, 'fmt': '11.09'}, 'currentQuarterEstimateDate': '3Q', 'currentQuarterEstimateYear': 2020, 'earningsDate': []}",,,,,,,,,,,,GOOG,,,
financialsChart,,,,,,,"{'yearly': [{'date': 2016, 'revenue': {'raw': 90272000000, 'fmt': '90.27B', 'longFmt': '90,272,000,000'}, 'earnings': {'raw': 19478000000, 'fmt': '19.48B', 'longFmt': '19,478,000,000'}}, {'date': 2017, 'revenue': {'raw': 110855000000, 'fmt': '110.86B', 'longFmt': '110,855,000,000'}, 'earnings': {'raw': 12662000000, 'fmt': '12.66B', 'longFmt': '12,662,000,000'}}, {'date': 2018, 'revenue': {'raw': 136819000000, 'fmt': '136.82B', 'longFmt': '136,819,000,000'}, 'earnings': {'raw': 30736000000, 'fmt': '30.74B', 'longFmt': '30,736,000,000'}}, {'date': 2019, 'revenue': {'raw': 161857000000, 'fmt': '161.86B', 'longFmt': '161,857,000,000'}, 'earnings': {'raw': 34343000000, 'fmt': '34.34B', 'longFmt': '34,343,000,000'}}], 'quarterly': [{'date': '3Q2019', 'revenue': {'raw': 40499000000, 'fmt': '40.5B', 'longFmt': '40,499,000,000'}, 'earnings': {'raw': 7068000000, 'fmt': '7.07B', 'longFmt': '7,068,000,000'}}, {'date': '4Q2019', 'revenue': {'raw': 46075000000, 'fmt': '46.08B', 'longFmt': '46,075,000,000'}, 'earnings': {'raw': 10671000000, 'fmt': '10.67B', 'longFmt': '10,671,000,000'}}, {'date': '1Q2020', 'revenue': {'raw': 41159000000, 'fmt': '41.16B', 'longFmt': '41,159,000,000'}, 'earnings': {'raw': 6836000000, 'fmt': '6.84B', 'longFmt': '6,836,000,000'}}, {'date': '2Q2020', 'revenue': {'raw': 38297000000, 'fmt': '38.3B', 'longFmt': '38,297,000,000'}, 'earnings': {'raw': 6959000000, 'fmt': '6.96B', 'longFmt': '6,959,000,000'}}]}",,,,,,,,,,,,GOOG,,,
financialCurrency,,,,,,,USD,,,,,,,USD,,,,,GOOG,,,
quoteSourceName,,,,,,,,Delayed Quote,,,,,,,,,,,GOOG,,,
regularMarketOpen,,,,,,,,"{'raw': 1553.31, 'fmt': '1,553.31'}",,,,,,,,,,"{'raw': 1553.31, 'fmt': '1,553.31'}",GOOG,,,
averageDailyVolume3Month,,,,,,,,"{'raw': 1680356, 'fmt': '1.68M', 'longFmt': '1,680,356'}",,,,,,,,,,,GOOG,,,
exchange,,,,,,,,NMS,,,,,,,NMS,,,,GOOG,,,
regularMarketTime,,,,,,,,1597867201,,,,,,,,,,,GOOG,,,
volume24Hr,,,,,,,,{},,,,,,,,,,{},GOOG,,,
regularMarketDayHigh,,,,,,,,"{'raw': 1573.68, 'fmt': '1,573.68'}",,,,,,,,,,"{'raw': 1573.68, 'fmt': '1,573.68'}",GOOG,,,
shortName,,,,,,,,Alphabet Inc.,,,,,,,Alphabet Inc.,,,,GOOG,,,
averageDailyVolume10Day,,,,,,,,"{'raw': 1507100, 'fmt': '1.51M', 'longFmt': '1,507,100'}",,,,,,,,,,"{'raw': 1507100, 'fmt': '1.51M', 'longFmt': '1,507,100'}",GOOG,,,
longName,,,,,,,,Alphabet Inc.,,,,,,,Alphabet Inc.,,,,GOOG,,,
regularMarketChange,,,,,,,,"{'raw': -11.069946, 'fmt': '-11.07'}",,,,,,,,,,,GOOG,,,
currencySymbol,,,,,,,,$,,,,,,,,,,,GOOG,,,
regularMarketPreviousClose,,,,,,,,"{'raw': 1558.6, 'fmt': '1,558.60'}",,,,,,,,,,"{'raw': 1558.6, 'fmt': '1,558.60'}",GOOG,,,
postMarketTime,,,,,,,,1597868945,,,,,,,,,,,GOOG,,,
preMarketPrice,,,,,,,,"{'raw': 1542.9, 'fmt': '1,542.90'}",,,,,,,,,,,GOOG,,,
preMarketTime,,,,,,,,1597915857,,,,,,,,,,,GOOG,,,
exchangeDataDelayedBy,,,,,,,,0,,,,,,,,,,,GOOG,,,
toCurrency,,,,,,,,,,,,,,,,,,,GOOG,,,
postMarketChange,,,,,,,,"{'raw': 0, 'fmt': '0.00'}",,,,,,,,,,,GOOG,,,
postMarketPrice,,,,,,,,"{'raw': 1547.53, 'fmt': '1,547.53'}",,,,,,,,,,,GOOG,,,
exchangeName,,,,,,,,NasdaqGS,,,,,,,,,,,GOOG,,,
preMarketChange,,,,,,,,"{'raw': -4.630005, 'fmt': '-4.63'}",,,,,,,,,,,GOOG,,,
circulatingSupply,,,,,,,,{},,,,,,,,,,{},GOOG,,,
regularMarketDayLow,,,,,,,,"{'raw': 1543.95, 'fmt': '1,543.95'}",,,,,,,,,,"{'raw': 1543.95, 'fmt': '1,543.95'}",GOOG,,,
currency,,,,,,,,USD,,,,,,,,,,USD,GOOG,,,
regularMarketPrice,,,,,,,,"{'raw': 1547.53, 'fmt': '1,547.53'}",,,,,,,,,,,GOOG,,,
regularMarketVolume,,,,,,,,"{'raw': 1617052, 'fmt': '1.62M', 'longFmt': '1,617,052.00'}",,,,,,,,,,"{'raw': 1617052, 'fmt': '1.62M', 'longFmt': '1,617,052'}",GOOG,,,
lastMarket,,,,,,,,,,,,,,,,,,,GOOG,,,
regularMarketSource,,,,,,,,FREE_REALTIME,,,,,,,,,,,GOOG,,,
openInterest,,,,,,,,{},,,,,,,,,,{},GOOG,,,
marketState,,,,,,,,PRE,,,,,,,,,,,GOOG,,,
underlyingSymbol,,,,,,,,,,,,,,,,,,,GOOG,,,
marketCap,,,,,,,,"{'raw': 1051562147840, 'fmt': '1.05T', 'longFmt': '1,051,562,147,840.00'}",,,,,,,,,,"{'raw': 1051562147840, 'fmt': '1.05T', 'longFmt': '1,051,562,147,840'}",GOOG,,,
quoteType,,,,,,,,EQUITY,,,,,,,EQUITY,,,,GOOG,,,
preMarketChangePercent,,,,,,,,"{'raw': -0.0029918677, 'fmt': '-0.30%'}",,,,,,,,,,,GOOG,,,
volumeAllCurrencies,,,,,,,,{},,,,,,,,,,{},GOOG,,,
postMarketSource,,,,,,,,FREE_REALTIME,,,,,,,,,,,GOOG,,,
strikePrice,,,,,,,,{},,,,,,,,,,{},GOOG,,,
symbol,,,,,,,,GOOG,,,,,,,GOOG,,,,GOOG,,,
postMarketChangePercent,,,,,,,,"{'raw': 0, 'fmt': '0.00%'}",,,,,,,,,,,GOOG,,,
preMarketSource,,,,,,,,DELAYED,,,,,,,,,,,GOOG,,,
fromCurrency,,,,,,,,,,,,,,,,,,,GOOG,,,
regularMarketChangePercent,,,,,,,,"{'raw': -0.0071024937, 'fmt': '-0.71%'}",,,,,,,,,,,GOOG,,,
ownershipList,,,,,,,,,"[{'maxAge': 1, 'reportDate': {'raw': 1585612800, 'fmt': '2020-03-31'}, 'organization': 'Vanguard Total Stock Market Index Fund', 'pctHeld': {'raw': 0.0257, 'fmt': '2.57%'}, 'position': {'raw': 8564807, 'fmt': '8.56M', 'longFmt': '8,564,807'}, 'value': {'raw': 9959243227, 'fmt': '9.96B', 'longFmt': '9,959,243,227'}}, {'maxAge': 1, 'reportDate': {'raw': 1585612800, 'fmt': '2020-03-31'}, 'organization': 'Vanguard 500 Index Fund', 'pctHeld': {'raw': 0.0185, 'fmt': '1.85%'}, 'position': {'raw': 6164495, 'fmt': '6.16M', 'longFmt': '6,164,495'}, 'value': {'raw': 7168136430, 'fmt': '7.17B', 'longFmt': '7,168,136,430'}}, {'maxAge': 1, 'reportDate': {'raw': 1590883200, 'fmt': '2020-05-31'}, 'organization': 'Growth Fund Of America Inc', 'pctHeld': {'raw': 0.0095999995, 'fmt': '0.96%'}, 'position': {'raw': 3194485, 'fmt': '3.19M', 'longFmt': '3,194,485'}, 'value': {'raw': 4564663506, 'fmt': '4.56B', 'longFmt': '4,564,663,506'}}, {'maxAge': 1, 'reportDate': {'raw': 1590883200, 'fmt': '2020-05-31'}, 'organization': 'SPDR S&P 500 ETF Trust', 'pctHeld': {'raw': 0.0095999995, 'fmt': '0.96%'}, 'position': {'raw': 3188319, 'fmt': '3.19M', 'longFmt': '3,188,319'}, 'value': {'raw': 4555852785, 'fmt': '4.56B', 'longFmt': '4,555,852,785'}}, {'maxAge': 1, 'reportDate': {'raw': 1590883200, 'fmt': '2020-05-31'}, 'organization': 'Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF', 'pctHeld': {'raw': 0.009, 'fmt': '0.90%'}, 'position': {'raw': 3016843, 'fmt': '3.02M', 'longFmt': '3,016,843'}, 'value': {'raw': 4310827299, 'fmt': '4.31B', 'longFmt': '4,310,827,299'}}, {'maxAge': 1, 'reportDate': {'raw': 1585612800, 'fmt': '2020-03-31'}, 'organization': 'Price (T.Rowe) Blue Chip Growth Fund Inc.', 'pctHeld': {'raw': 0.0086, 'fmt': '0.86%'}, 'position': {'raw': 2867378, 'fmt': '2.87M', 'longFmt': '2,867,378'}, 'value': {'raw': 3334215812, 'fmt': '3.33B', 'longFmt': '3,334,215,812'}}, {'maxAge': 1, 'reportDate': {'raw': 1585612800, 'fmt': '2020-03-31'}, 'organization': 'Vanguard Institutional Index Fund-Institutional Index Fund', 'pctHeld': {'raw': 0.007900001, 'fmt': '0.79%'}, 'position': {'raw': 2644857, 'fmt': '2.64M', 'longFmt': '2,644,857'}, 'value': {'raw': 3075466168, 'fmt': '3.08B', 'longFmt': '3,075,466,168'}}, {'maxAge': 1, 'reportDate': {'raw': 1590883200, 'fmt': '2020-05-31'}, 'organization': 'Fidelity 500 Index Fund', 'pctHeld': {'raw': 0.007900001, 'fmt': '0.79%'}, 'position': {'raw': 2642049, 'fmt': '2.64M', 'longFmt': '2,642,049'}, 'value': {'raw': 3775276657, 'fmt': '3.78B', 'longFmt': '3,775,276,657'}}, {'maxAge': 1, 'reportDate': {'raw': 1588204800, 'fmt': '2020-04-30'}, 'organization': 'iShares Core S&P 500 ETF', 'pctHeld': {'raw': 0.0068, 'fmt': '0.68%'}, 'position': {'raw': 2252353, 'fmt': '2.25M', 'longFmt': '2,252,353'}, 'value': {'raw': 3037658396, 'fmt': '3.04B', 'longFmt': '3,037,658,396'}}, {'maxAge': 1, 'reportDate': {'raw': 1585612800, 'fmt': '2020-03-31'}, 'organization': 'Vanguard Growth Index Fund', 'pctHeld': {'raw': 0.0066000004, 'fmt': '0.66%'}, 'position': {'raw': 2215266, 'fmt': '2.22M', 'longFmt': '2,215,266'}, 'value': {'raw': 2575933457, 'fmt': '2.58B', 'longFmt': '2,575,933,457'}}]",,,,,,,"[{'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Vanguard Group, Inc. (The)', 'pctHeld': {'raw': 0.0679, 'fmt': '6.79%'}, 'position': {'raw': 22636989, 'fmt': '22.64M', 'longFmt': '22,636,989'}, 'value': {'raw': 31999874020, 'fmt': '32B', 'longFmt': '31,999,874,020'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Blackrock Inc.', 'pctHeld': {'raw': 0.061, 'fmt': '6.10%'}, 'position': {'raw': 20335553, 'fmt': '20.34M', 'longFmt': '20,335,553'}, 'value': {'raw': 28746541076, 'fmt': '28.75B', 'longFmt': '28,746,541,076'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Price (T.Rowe) Associates Inc', 'pctHeld': {'raw': 0.037, 'fmt': '3.70%'}, 'position': {'raw': 12358311, 'fmt': '12.36M', 'longFmt': '12,358,311'}, 'value': {'raw': 17469832012, 'fmt': '17.47B', 'longFmt': '17,469,832,012'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'State Street Corporation', 'pctHeld': {'raw': 0.0352, 'fmt': '3.52%'}, 'position': {'raw': 11737607, 'fmt': '11.74M', 'longFmt': '11,737,607'}, 'value': {'raw': 16592398631, 'fmt': '16.59B', 'longFmt': '16,592,398,631'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'FMR, LLC', 'pctHeld': {'raw': 0.0241, 'fmt': '2.41%'}, 'position': {'raw': 8036248, 'fmt': '8.04M', 'longFmt': '8,036,248'}, 'value': {'raw': 11360120535, 'fmt': '11.36B', 'longFmt': '11,360,120,535'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Geode Capital Management, LLC', 'pctHeld': {'raw': 0.013200001, 'fmt': '1.32%'}, 'position': {'raw': 4402730, 'fmt': '4.4M', 'longFmt': '4,402,730'}, 'value': {'raw': 6223743155, 'fmt': '6.22B', 'longFmt': '6,223,743,155'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Capital International Investors', 'pctHeld': {'raw': 0.013099999, 'fmt': '1.31%'}, 'position': {'raw': 4363371, 'fmt': '4.36M', 'longFmt': '4,363,371'}, 'value': {'raw': 6168104879, 'fmt': '6.17B', 'longFmt': '6,168,104,879'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Northern Trust Corporation', 'pctHeld': {'raw': 0.012, 'fmt': '1.20%'}, 'position': {'raw': 4002963, 'fmt': '4M', 'longFmt': '4,002,963'}, 'value': {'raw': 5658628526, 'fmt': '5.66B', 'longFmt': '5,658,628,526'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'Bank Of New York Mellon Corporation', 'pctHeld': {'raw': 0.0112, 'fmt': '1.12%'}, 'position': {'raw': 3723037, 'fmt': '3.72M', 'longFmt': '3,723,037'}, 'value': {'raw': 5262922333, 'fmt': '5.26B', 'longFmt': '5,262,922,333'}}, {'maxAge': 1, 'reportDate': {'raw': 1593475200, 'fmt': '2020-06-30'}, 'organization': 'AllianceBernstein, L.P.', 'pctHeld': {'raw': 0.0108, 'fmt': '1.08%'}, 'position': {'raw': 3604744, 'fmt': '3.6M', 'longFmt': '3,604,744'}, 'value': {'raw': 5095702165, 'fmt': '5.1B', 'longFmt': '5,095,702,165'}}]",,,GOOG,,,
